Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-220.14954	70.81648	-153.44925	-394.14798	-120.962494	26.939028	-80.75953	-254.83092	200.0	200.0	3999	-15.928075	11.30641	0.6314923	-47.50432	-15.92789	11.307391	0.65941805	-47.587715	15.670057	3.449159	35.62550616264343
2	-238.80069	79.61658	-134.15828	-386.8363	-65.516426	104.336296	-1.3477533	-382.68423	200.0	200.0	7999	-35.74304	21.749226	6.6800356	-82.88524	-35.743786	21.756037	7.2388935	-83.2287	34.11272	21.729048	80.82281517982483
3	-190.1441	125.88547	-5.096957	-392.53647	-73.74048	124.033424	-0.35151353	-379.0424	200.0	200.0	11999	-47.45251	32.759777	15.56011	-117.81691	-47.45527	32.764523	12.7399845	-117.6762	44.98104	43.161907	126.03551149368286
4	-21.500675	21.401457	-0.7413116	-85.901695	-35.844337	55.038433	-0.50290036	-383.2888	200.0	200.0	15999	-45.21358	48.88206	21.485727	-155.87965	-45.217804	48.882397	18.406235	-155.66254	43.19567	55.015766	171.3581783771515
5	-45.001045	29.3204	-2.0383267	-126.48489	-46.67296	80.245804	-0.8981791	-381.9446	200.0	200.0	19999	-38.29201	59.074192	24.275885	-188.02432	-38.29613	59.06806	21.93004	-187.67918	36.545578	58.585606	216.68947887420654
6	-39.13126	33.4638	-2.8815794	-132.12999	-41.09145	65.99509	-1.1141722	-383.59604	200.0	200.0	23999	-32.838364	63.62424	22.659071	-214.22987	-32.84156	63.61985	20.83692	-214.78423	31.582977	64.48424	262.0970890522003
7	-31.414051	24.475721	-0.6450555	-88.0987	-40.537277	57.521328	-0.46544573	-380.21707	200.0	200.0	27999	-28.216063	64.96959	21.11129	-234.76193	-28.217918	64.96572	21.746674	-235.46301	26.943598	65.20274	307.4697585105896
8	-49.080505	74.27232	-5.3818936	-357.21158	-34.09374	43.02218	-0.64949566	-380.92267	200.0	200.0	31999	-25.44998	66.356316	21.151737	-254.01709	-25.453125	66.35363	21.358313	-254.53076	24.542442	60.25825	352.47902250289917
9	-34.439293	35.815037	-1.2985113	-150.4023	-53.76041	87.705376	-0.5973351	-381.86963	200.0	200.0	35999	-22.854105	65.80377	21.998728	-270.63983	-22.855907	65.8037	22.032572	-269.46674	21.854952	55.743275	397.837632894516
10	-38.03459	46.51213	-1.8319892	-216.93533	-42.23645	64.79942	-1.4924681	-383.8077	200.0	200.0	39999	-21.963228	66.06013	19.827581	-285.8481	-21.963627	66.06089	20.288454	-285.1551	20.861633	48.308132	443.58330631256104
11	-54.159393	50.378834	-2.9096258	-217.2157	-33.860878	45.127888	-1.3742234	-376.93246	200.0	200.0	43999	-19.901167	65.870186	18.862957	-301.42407	-19.902348	65.871086	19.851324	-300.48358	18.825294	48.764305	489.1105122566223
12	-29.525646	18.844868	-5.489297	-68.27402	-34.865456	42.532276	-1.0777355	-378.48337	200.0	200.0	47999	-19.267586	65.69149	18.988224	-315.5776	-19.268488	65.69336	19.220879	-314.8912	18.740868	41.072742	533.8040506839752
13	-23.273535	22.7246	-0.67108124	-87.65896	-31.925508	41.022427	-0.99812955	-381.87015	200.0	200.0	51999	-17.62171	64.44067	17.68658	-327.56543	-17.622154	64.44289	19.124285	-327.29117	16.927614	40.825188	579.2382686138153
14	-30.686691	24.305492	-1.4714549	-92.33132	-35.42768	54.54829	-1.7635657	-381.1217	200.0	200.0	55999	-15.733969	62.87828	17.91093	-338.1452	-15.734785	62.882774	17.907444	-338.02554	15.244467	44.531197	624.6152806282043
15	-72.39816	105.41994	-10.615251	-383.05136	-45.58101	64.38143	-1.1149534	-379.03073	200.0	200.0	59999	-15.811685	65.54869	17.273188	-350.0656	-15.812205	65.551956	17.207457	-348.9158	15.344562	47.665215	670.3148236274719
16	-32.001976	25.576906	-0.36471042	-97.6617	-53.23861	86.61658	-0.827969	-383.78073	200.0	200.0	63999	-15.617676	66.2845	19.125284	-363.49564	-15.618271	66.28617	17.278755	-362.784	15.1951885	46.996304	715.4048476219177
17	-49.57609	45.21578	-3.2215855	-196.72856	-39.607445	56.452652	-0.33040386	-380.77313	200.0	200.0	67999	-14.837848	65.75568	22.066397	-371.69193	-14.838645	65.761086	22.618551	-370.84613	14.203785	49.554913	760.3120107650757
18	-29.719687	16.141321	-4.8570995	-72.686935	-38.97854	63.780155	-0.75215673	-380.79965	200.0	200.0	71999	-13.894279	65.503	19.784992	-381.7742	-13.8941765	65.50358	17.990461	-381.27567	13.411131	42.474964	805.483648777008
19	-61.3679	86.05513	-1.34288	-380.3148	-28.691614	31.898739	-0.7476548	-217.95229	200.0	200.0	75999	-13.82075	66.34319	20.093124	-389.0405	-13.820714	66.34518	19.468304	-388.27005	13.278816	52.133873	850.726322889328
20	-45.5381	79.76644	-0.36133772	-379.19412	-39.52566	64.29239	-0.6285217	-379.04874	200.0	200.0	79999	-13.635945	66.46073	19.534735	-397.0104	-13.636527	66.46139	18.460697	-396.51978	13.057428	41.78415	895.9473884105682
21	-32.47455	30.75761	-0.48099217	-125.220535	-28.6819	24.421965	-0.62183845	-131.8857	200.0	200.0	83999	-13.390773	67.63469	19.506313	-403.5869	-13.390391	67.632515	21.468983	-402.96542	12.973275	52.7208	941.2471041679382
22	-45.181793	80.80594	-1.2387241	-380.1138	-34.76842	54.026005	-0.8269513	-377.9651	200.0	200.0	87999	-12.183506	67.51683	21.050924	-411.06247	-12.184764	67.52136	20.14711	-410.5398	11.892647	47.6142	987.2978484630585
23	-46.747593	83.26839	-1.5534968	-382.29498	-32.816597	54.57458	-1.2860594	-383.30707	200.0	200.0	91999	-12.260209	69.52407	20.331415	-416.23108	-12.261316	69.52697	20.040648	-416.19046	11.783371	53.267475	1032.5631022453308
24	-24.19635	10.623324	-1.0115222	-46.20315	-34.542248	42.730957	-0.5225223	-382.58417	200.0	200.0	95999	-12.029648	70.20331	20.709494	-421.21564	-12.030397	70.208534	20.180502	-419.89215	11.675088	59.44772	1077.4715251922607
25	-46.974308	83.43005	-2.4656188	-381.59607	-41.172245	66.35773	-1.2006453	-383.6221	200.0	200.0	99999	-11.498458	70.606064	22.23986	-427.6262	-11.498931	70.609856	21.789726	-426.18784	11.189904	60.599857	1123.0544521808624
26	-29.884485	22.321829	-2.117472	-82.44057	-35.02387	43.910305	-0.6165092	-380.09827	200.0	200.0	103999	-10.570549	71.28019	21.74076	-430.09802	-10.570143	71.27531	21.419138	-428.3901	10.179061	60.692448	1168.9889023303986
27	-27.976154	27.03561	-1.1436933	-98.7786	-37.913406	54.471836	-1.6431205	-379.10654	200.0	200.0	107999	-9.798086	71.67803	22.056448	-433.74792	-9.798788	71.67956	22.171608	-433.2593	9.492125	54.04337	1214.792669057846
28	-26.331	19.314167	-1.6720319	-68.549675	-33.69869	55.289562	-1.6336429	-383.09836	200.0	200.0	111999	-9.256241	70.23347	22.043722	-440.3323	-9.257659	70.24269	20.57506	-438.56244	9.019849	52.151867	1259.7680251598358
29	-40.604553	81.73474	-1.3525774	-383.67105	-31.387634	41.33643	-1.0882183	-377.09195	200.0	200.0	115999	-8.989432	70.491234	21.096022	-448.29468	-8.989893	70.49368	20.771885	-446.78104	8.828636	41.45359	1305.1164019107819
30	-28.306234	24.546846	-3.0944839	-100.4504	-32.259216	27.953817	-1.7386879	-165.38495	200.0	200.0	119999	-8.856991	71.26166	23.036457	-451.6147	-8.857348	71.26482	23.426577	-450.8803	8.433985	58.30861	1350.7171776294708
31	-34.629593	28.996447	-2.7823558	-138.00978	-42.49651	65.219246	-0.21614762	-383.60562	200.0	200.0	123999	-8.373273	70.9789	22.311857	-455.74875	-8.373052	70.97866	21.709377	-454.21786	8.238175	57.976704	1396.1360232830048
32	-39.292213	81.53671	-0.69461495	-384.3002	-40.862015	64.78264	-0.61135757	-383.2378	200.0	200.0	127999	-8.126308	70.965645	22.024117	-459.5896	-8.126303	70.96722	21.575775	-458.94925	7.970679	58.38219	1441.7976050376892
33	-48.66304	81.2215	-1.4347203	-383.7	-31.661829	44.305782	-0.9209573	-383.59464	200.0	200.0	131999	-8.426291	72.13733	21.697603	-462.7968	-8.427141	72.137985	21.719202	-462.3274	8.196571	60.189144	1487.2580573558807
34	-38.7156	34.36785	-0.35644	-149.16331	-39.030678	55.909126	-0.9064112	-383.626	200.0	200.0	135999	-7.9999456	73.25184	24.684893	-466.09134	-8.000375	73.255035	23.105942	-465.2587	7.8692737	58.828312	1532.0467162132263
35	-65.61422	108.959274	-0.95783406	-383.9846	-32.462727	42.208218	-0.24282268	-376.74084	200.0	200.0	139999	-7.6672554	74.05324	23.39305	-470.8959	-7.667323	74.05563	22.432556	-469.62927	7.2721443	61.620777	1577.9216322898865
36	-39.82291	41.00699	-0.44942987	-157.1505	-34.121563	56.778133	-0.40603447	-383.12036	200.0	200.0	143999	-8.5513115	76.24277	23.052788	-476.72314	-8.552009	76.24593	23.445667	-476.3328	8.358049	56.14228	1623.2438237667084
37	-36.79415	32.647617	-1.1470102	-141.46455	-42.533466	63.9744	-2.6499639	-382.7383	200.0	200.0	147999	-8.986153	75.105034	21.716694	-480.2855	-8.986808	75.106476	21.616508	-479.11124	8.651091	62.93745	1668.2792518138885
38	-51.228004	79.72984	-10.853467	-383.36343	-45.082775	80.0713	-0.2111906	-381.75174	200.0	200.0	151999	-9.559974	74.51787	22.627796	-480.17062	-9.560129	74.515144	20.65168	-479.16568	9.218932	74.729294	1713.701072692871
39	-24.95927	20.802813	-2.9628735	-87.65506	-42.150352	56.371536	-1.242762	-381.80295	200.0	200.0	155999	-9.61184	75.07075	20.780369	-479.9895	-9.611413	75.065605	21.083153	-478.90594	9.577635	64.80879	1759.7791221141815
40	-32.038536	23.405872	-1.6017289	-81.64271	-46.946987	79.92002	-1.1319126	-383.58575	200.0	200.0	159999	-9.010278	74.616325	20.620956	-483.71628	-9.010358	74.61592	21.23183	-482.92145	8.664508	56.628117	1805.014420747757
41	-45.16125	80.82723	-1.1571031	-382.55548	-54.31758	92.47944	-0.7341628	-381.63748	200.0	200.0	163999	-8.817779	74.476746	20.112608	-487.26736	-8.817447	74.472206	21.478294	-486.55023	8.38875	57.91562	1850.1163821220398
