Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-223.64685	84.078674	-113.59291	-398.55563	-117.09746	138.03194	-1.8559597	-383.77527	200.0	200.0	3999	-16.52109	12.030538	0.5601206	-48.059242	-16.520752	12.031455	0.589238	-48.115368	16.125912	4.5361557	57.700767517089844	0.02245741968221018
2	-215.81364	65.44701	-144.81985	-383.71558	-130.85648	138.88393	-0.21251811	-383.4687	200.0	200.0	7999	-36.753803	24.452557	8.619112	-92.314674	-36.75328	24.467299	7.51399	-92.37356	35.61943	21.63315	132.3484811782837	0.02792518126626324
3	-181.38396	114.13883	-2.7499578	-373.30225	-111.72162	135.90175	-0.19277342	-383.6832	200.0	200.0	11999	-50.838757	37.577164	19.675331	-124.15052	-50.838837	37.59265	18.443218	-124.05707	48.896538	49.814655	205.2074134349823	0.016962631764599972
4	-120.352554	131.7441	-0.9467911	-328.9361	-104.90482	134.47092	-0.29860395	-383.4702	200.0	200.0	15999	-57.26918	55.78723	36.754475	-157.75484	-57.28198	55.783077	32.178886	-158.40034	55.83257	90.62132	278.6603310108185	0.015340708545207967
5	-138.13068	139.28575	-1.3181714	-383.70215	-149.68233	143.68701	-1.7637935	-383.00482	200.0	200.0	19999	-64.29387	74.53494	43.330578	-191.71996	-64.311005	74.526085	40.83243	-192.45572	62.793602	129.88936	351.9023406505585	0.0194591700028773
6	-124.40519	131.34354	-4.4323373	-362.51038	-132.68536	141.0412	-1.3392129	-381.7735	200.0	200.0	23999	-68.90784	89.12984	45.28687	-216.35515	-68.91919	89.1307	44.26124	-216.59814	67.67727	178.03955	425.5294728279114	0.019439730272604698
7	-142.02957	139.68536	-3.6706696	-361.5505	-134.806	143.69995	-4.0526	-381.89313	200.0	200.0	27999	-75.23499	103.929276	47.62791	-242.91408	-75.24397	103.92321	48.47765	-242.79951	74.386284	235.25107	497.71511673927307	0.019420309962642057
8	-116.78371	133.04375	-6.369877	-377.76614	-136.38478	141.30478	-3.755435	-382.75128	200.0	200.0	31999	-83.51051	118.71885	50.963467	-269.39478	-83.52235	118.72252	55.76126	-268.7413	82.65286	290.4279	570.8729588985443	0.022749091648344686
9	-194.99345	151.4616	-7.149738	-382.56308	-136.4793	152.08562	-4.4562263	-383.29938	200.0	200.0	35999	-91.77413	135.2131	57.21255	-290.72113	-91.78335	135.205	59.43608	-290.12958	90.64672	356.69757	644.7025458812714	0.021839590338558874
10	-211.58899	160.05106	-8.270233	-383.25763	-119.1897	133.04501	-8.111861	-383.81976	200.0	200.0	39999	-102.026	153.38446	67.91782	-312.86676	-102.03505	153.3796	70.61496	-312.36993	101.349846	458.82288	718.4845123291016	0.019362165360701712
11	-167.47742	140.85458	-6.703769	-366.2995	-140.9263	147.21698	-7.1189785	-383.69635	200.0	200.0	43999	-109.71122	170.74184	80.42429	-334.46683	-109.71498	170.73795	84.94284	-333.16254	108.74843	549.07733	791.9595665931702	0.019731613271180642
