Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-213.32462	74.21057	-140.2265	-396.27646	-140.78949	135.94016	-0.04218562	-383.23138	200.0	200.0	3999	-15.803008	11.221015	0.5207231	-48.31595	-15.8010235	11.220956	0.7260546	-48.072796	15.45883	4.2850957	35.58092927932739
2	-262.34033	79.123405	-154.05244	-396.4563	-122.36102	142.6628	-0.23577088	-381.04205	200.0	200.0	7999	-37.752193	24.617521	7.424093	-93.21466	-37.752136	24.619427	7.7612314	-93.44743	36.767574	23.431805	80.94236993789673
3	-184.18819	128.59001	-0.9725156	-384.4732	-138.52516	147.88934	-0.019925803	-383.10553	200.0	200.0	11999	-56.23181	41.10393	24.464794	-134.45233	-56.22997	41.100277	22.417505	-134.49295	54.75612	52.91546	126.46757531166077
4	-156.45084	156.87845	-2.4785852	-384.39456	-121.76836	137.49721	-1.5031891	-382.69116	200.0	200.0	15999	-65.029495	64.31288	29.257689	-176.09013	-65.02775	64.298645	30.185726	-176.18329	63.739716	95.870186	171.4321858882904
5	-98.077126	127.10005	-1.8395889	-353.66803	-133.99104	146.51001	-1.3535162	-383.61392	200.0	200.0	19999	-69.99655	83.560844	32.444447	-208.86601	-69.99709	83.547485	32.042774	-208.33565	68.887794	138.31703	216.61337733268738
6	-114.28489	131.13777	-1.3284445	-355.827	-114.774734	137.09209	-0.68911463	-380.19208	200.0	200.0	23999	-75.15435	97.7664	33.638798	-233.55623	-75.153076	97.760414	34.288643	-233.50089	74.27267	186.7266	261.8121705055237
7	-150.1012	151.25453	-1.0136614	-380.92563	-151.42145	145.37292	-0.08983234	-382.5269	200.0	200.0	27999	-83.85082	111.555336	34.04614	-258.10358	-83.84558	111.544014	34.912933	-258.2202	83.304535	226.60602	307.3208372592926
8	-130.62602	136.28749	-1.9694612	-342.72702	-117.78449	134.49713	-1.7591118	-379.13086	200.0	200.0	31999	-93.15644	124.15704	37.588634	-278.88696	-93.14892	124.15249	38.119324	-278.33902	92.493675	283.76944	352.5872411727905
9	-89.255295	112.47243	-4.5419016	-359.587	-129.83064	140.15154	-1.9197079	-383.1025	200.0	200.0	35999	-100.15908	136.09303	39.91681	-297.6458	-100.155	136.08008	41.854046	-296.75952	99.39666	360.3465	397.47118377685547
10	-117.708435	142.70651	-2.0974638	-382.3228	-118.817635	133.742	-2.271115	-381.55313	200.0	200.0	39999	-103.13294	146.49504	41.57417	-314.08554	-103.12765	146.48431	42.45829	-313.99005	102.81025	402.06097	442.62559485435486
11	-132.2655	140.42636	-3.040085	-354.38058	-103.95943	132.37793	-2.9666402	-382.32645	200.0	200.0	43999	-108.62513	156.05014	44.17514	-329.4896	-108.62399	156.04114	44.181908	-329.44305	108.49545	432.79306	487.8029351234436
12	-62.20864	106.54614	-2.9151382	-384.34863	-124.96243	142.68771	-2.5477383	-382.40363	200.0	200.0	47999	-110.20999	165.0377	48.29423	-342.6954	-110.20627	165.03499	48.72481	-342.73508	109.690544	509.6093	532.1779336929321
