Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-251.11209	93.15005	-146.04626	-393.14258	-107.1279	67.164505	-6.7953544	-192.32692	200.0	200.0	3999	-6.1099405	4.3850865	0.32404134	-16.92034	-6.109693	4.386301	0.583226	-16.901318	5.985378	0.49299097	56.249913454055786	0.012361678039025676
2	-235.75447	86.94517	-140.75027	-384.2457	-24.399673	40.263645	-0.53807265	-401.75214	200.0	200.0	7999	-13.438312	7.8744473	2.7122884	-30.673996	-13.438377	7.879025	2.750569	-30.416403	12.886041	2.3406432	128.54576897621155	0.014771618363268584
3	-128.32214	115.28996	-7.245045	-373.86694	-22.909134	14.813466	-0.26755676	-72.9063	200.0	200.0	11999	-15.77873	11.094705	4.7293043	-43.072365	-15.77829	11.098514	4.8529897	-42.389706	14.884942	4.0160503	199.68203568458557	0.011855606551618778
4	-21.461948	18.743662	-1.0072404	-81.12003	-24.529482	16.249372	-0.5378221	-83.65519	200.0	200.0	15999	-12.228812	14.73133	6.8886995	-51.65389	-12.228586	14.73071	6.7437124	-51.840755	11.421851	3.8460617	271.44270491600037	0.01072200394720594
5	-16.22864	11.530444	-0.67782223	-46.376446	-24.566633	14.480288	-0.09817416	-79.03541	200.0	200.0	19999	-8.694322	15.199678	7.6487894	-56.563606	-8.694366	15.19995	7.2193108	-56.76553	8.042979	3.295951	343.67684388160706	0.009134818121515753
6	-20.681917	15.675355	-1.1306396	-65.35766	-23.007715	12.848319	-1.0725687	-66.23136	200.0	200.0	23999	-6.5666575	14.223018	6.6989703	-58.205452	-6.566676	14.223003	6.5908947	-58.366467	6.0227003	2.4013257	415.2961902618408	0.010080441766866654
7	-23.854641	11.017392	-0.6785322	-58.2362	-20.15652	11.253046	-0.7418825	-51.735813	200.0	200.0	27999	-5.3773556	13.079401	5.848839	-58.299526	-5.3772955	13.078465	5.7720113	-58.30349	4.941701	2.1531157	487.28304648399353	0.009116575853233435
8	-19.973537	8.465522	-2.8985186	-41.19483	-21.051235	10.54169	-0.7800684	-44.772266	200.0	200.0	31999	-4.803135	12.365088	5.194745	-57.619427	-4.803206	12.364537	5.3635125	-57.421535	4.460851	1.8012283	558.8134906291962	0.010262523337182975
9	-25.216978	14.953424	-1.117849	-64.67597	-22.639582	13.314341	-0.5177825	-54.317207	200.0	200.0	35999	-4.3801064	11.808518	4.103711	-56.963383	-4.380106	11.808267	4.1711845	-57.097015	4.075242	1.5836568	629.1513390541077	0.008743354751087071
10	-20.789366	9.701401	-2.0485852	-46.397465	-21.40236	15.410991	-0.12466049	-68.8052	200.0	200.0	39999	-4.1645913	11.452832	4.150421	-57.15183	-4.1646223	11.452612	3.493711	-56.92864	3.8709152	1.5586208	700.4057364463806	0.00908928073409966
11	-17.218716	7.427049	-1.4806479	-27.377943	-20.329374	13.743302	-0.63404006	-84.19831	200.0	200.0	43999	-3.9181893	11.096554	3.8843205	-56.94136	-3.9182441	11.096525	3.3501925	-56.88408	3.6550767	1.3803753	772.459851026535	0.008901284710877455
12	-21.165442	19.700006	-0.51826316	-90.588715	-22.303848	13.878445	-0.7539852	-82.43936	200.0	200.0	47999	-3.7613816	10.913417	2.819044	-57.56718	-3.761438	10.913487	2.869618	-57.388626	3.5425222	1.2126163	844.5418589115143	0.008717177059659735
