Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma	CStage
1	-14.019097	13.076649	10.0	-39.254284	-6.8063884	9.492974	10.0	-24.930677	56.95714	47.25	3999	-1.128838	1.209268	11.31721	-12.497478	-1.1288918	1.2081127	11.289885	-12.416126	0.9081792	0.2991464	55.08889198303223	0.015083596420262645	wbDS
2	-13.411819	12.895845	10.0	-41.173294	-6.447099	8.886574	10.0	-26.796934	59.53731	59.54	7999	-1.1602987	2.3402834	14.559138	-12.713578	-1.1601349	2.3410923	13.982869	-12.542447	0.7637065	0.32611737	127.03533720970154	0.012850760976762295	wbDS
3	-9.29507	12.320839	10.0	-38.4327	-6.4306273	10.981591	10.0	-29.106695	60.166668	49.77	11999	0.051800583	3.0247989	16.52244	-13.95932	0.051908426	3.0250885	17.131697	-15.296595	-0.5899007	0.5466376	199.14875078201294	0.010313938681778807	wbDS
4	-6.8073115	10.129346	10.0	-35.71572	-3.7622015	9.182706	10.0	-23.372215	63.460316	54.43	15999	1.016649	3.0134451	15.960318	-15.00318	1.0167776	3.0138493	16.165157	-14.743562	-1.4694097	0.7031355	272.2029311656952	0.010510738111171392	wbDS
5	-3.683793	8.629327	10.0	-18.456448	-4.162429	8.802025	10.0	-21.353615	59.35294	55.89	19999	1.6205761	3.0496373	16.359098	-16.113802	1.6207544	3.051028	15.929763	-16.207115	-2.088559	0.7732571	345.32865715026855	0.009505728367869956	wbDS
6	-4.179338	8.787203	10.0	-19.140116	-3.8200672	7.59801	10.0	-19.190092	58.115944	60.02	23999	1.7057767	3.0687861	16.848494	-16.366003	1.7059656	3.069017	16.148726	-15.994988	-2.0917509	0.87559545	418.5574984550476	0.008596815071216481	wbDS
7	-3.2433136	8.194927	10.0	-18.144999	-2.3113315	8.279578	10.0	-18.778215	57.130436	56.86	27999	1.3803887	3.041977	15.869246	-16.571728	1.380732	3.0420976	15.889112	-16.181145	-1.7140825	0.8701334	492.8095407485962	0.008419004846948446	wbDS
8	-3.8105643	9.250606	10.0	-23.254118	-4.345534	8.558859	10.0	-23.183264	55.59722	52.76	31999	1.0448163	2.9385788	15.3698	-15.989582	1.0450816	2.939778	15.068884	-16.732512	-1.3832141	0.86992306	568.0173940658569	0.008082415762260759	wbDS
9	-3.127268	9.082406	10.0	-20.593893	-1.1565627	8.287698	10.0	-19.800522	56.40278	59.83	35999	0.60870224	2.8775132	14.702894	-19.06161	0.6089152	2.88085	14.586617	-18.22457	-0.93832606	0.90780634	643.1768152713776	0.008074341420839919	wbDS
10	-1.276414	8.810756	10.0	-19.464252	-0.28234482	8.682569	10.0	-22.967163	60.584614	60.47	39999	0.20528944	2.8082438	14.867129	-17.480392	0.20546038	2.8123102	14.909394	-17.229094	-0.522937	0.9060772	719.0161476135254	0.007598796067250676	wbDS
11	-2.1990144	9.724566	10.0	-22.475567	-4.834731	8.188838	10.0	-24.277435	56.394367	62.69	43999	-0.0682793	2.8543239	18.94482	-18.555895	-0.06799728	2.860707	18.160545	-19.66292	-0.25466862	0.93260694	794.2765898704529	0.008058216928765459	wbDS
12	-1.2470837	9.3371525	10.0	-18.83438	-3.89854	9.052577	10.0	-21.994896	57.768116	61.99	47999	-0.19288167	2.9655573	18.531616	-18.137943	-0.19275749	2.970841	18.561775	-18.35488	-0.12669513	1.014173	874.6043512821198	0.007736052028094199	wbDS
13	-0.90235263	8.525516	10.0	-21.202019	-3.1199777	8.50901	10.0	-22.002232	57.985714	59.27	51999	-0.29926223	3.024307	17.877262	-17.711317	-0.29909098	3.0285714	17.459234	-18.92656	-0.03228472	1.0225369	953.0283415317535	0.007426767175719234	wbDS
14	0.075052194	8.775901	10.0	-19.949364	-3.1719668	8.413604	10.0	-22.46106	54.12162	61.43	55999	-0.34142363	3.1204937	16.62908	-19.004658	-0.34140745	3.1246462	16.143938	-20.621832	0.013830168	1.1086799	1030.6959326267242	0.007720603101288522	wbDS
15	-2.8898025	9.075007	10.0	-23.846994	-4.51853	8.398513	10.0	-20.901243	64.59677	63.4	59999	-0.35959905	3.1735733	17.150515	-20.102337	-0.3593432	3.1775723	16.660664	-19.05119	0.030932	1.129118	1109.6033868789673	0.006982378891067621	sbDS
16	-1.883315	8.385088	10.0	-21.540874	-4.7570105	8.896414	10.0	-24.211893	56.585712	59.43	63999	-0.48805436	3.1840699	16.132122	-20.262274	-0.48791525	3.1882665	16.870132	-21.22672	0.16354471	1.2124192	1187.900960445404	0.007258632840543776	sbDS
