Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-17.413921	9.682522	-0.04518938	-45.006077	-29.709358	18.334572	7.015484	-62.069035	172.18182	187.68	3999	-0.74079883	0.7422747	1.0465671	-11.684286	-0.7407847	0.742258	1.1147861	-11.638361	0.6298744	0.1339856	64.85123205184937	0.02431816749398534
2	-12.932897	11.296988	9.827201	-35.412468	-22.003407	18.933458	9.668366	-53.473602	166.2	178.67	7999	-0.6486402	0.97893155	11.030216	-12.341045	-0.6486222	0.9795645	10.893533	-12.288094	0.49090588	0.107195266	143.22909140586853	0.014771618363268587
3	-14.7734995	12.904558	9.22204	-36.445377	-11.29562	9.557349	9.556329	-28.751663	172.95653	138.24	11999	-0.44371486	1.2069955	12.570357	-12.646116	-0.443688	1.205926	13.390129	-12.476061	0.26881692	0.1452168	220.2664840221405	0.01258496525214057
4	-11.296832	13.906033	9.541546	-41.810856	-11.549307	12.832843	9.452547	-40.162323	149.7037	154.55	15999	-0.2086797	1.5318767	14.275197	-13.990949	-0.2087498	1.5316755	13.914014	-12.904494	0.038302228	0.21929908	297.5447356700897	0.012081822420885435
5	-10.132765	7.776542	8.933292	-26.667704	-7.216797	9.093841	9.504252	-19.085138	151.3077	141.86	19999	0.03986682	1.965487	14.579653	-13.30234	0.03992021	1.9671439	14.478265	-13.654264	-0.2539399	0.36298287	374.2899601459503	0.010926589636907876
6	-5.4016957	10.165877	9.9269285	-22.70204	-7.260934	9.362565	9.549739	-24.780712	141.03448	131.67	23999	0.5658663	2.3563302	15.314704	-14.276405	0.5659284	2.3577952	14.944351	-13.656365	-0.8703077	0.482209	451.03470969200134	0.010283058646380676
7	-7.9331975	9.126353	9.589377	-20.084013	-8.010481	9.14755	10.0	-25.75209	135.55173	161.24	27999	1.0862926	2.7895925	16.208023	-13.898934	1.0863408	2.7909474	16.711561	-13.726202	-1.3997889	0.56364244	529.7147161960602	0.009871945295040863
8	-4.7903185	9.95437	9.526356	-18.901737	-6.062774	8.8293085	9.452411	-21.5479	176.81818	161.47	31999	1.353406	2.971425	16.221796	-15.294825	1.353422	2.9727921	16.61446	-15.93998	-1.6339945	0.5388177	607.9490268230438	0.008244872319082198
9	-8.143182	9.296702	8.976053	-22.844694	-11.079087	11.291185	9.872059	-34.391193	172.04167	195.32	35999	1.4105141	3.0286536	17.41184	-17.127108	1.4105495	3.0297964	17.642748	-16.806068	-1.6583766	0.5151834	686.4876227378845	0.008402192060635116
10	-5.037906	12.643291	9.527949	-39.209896	-6.900034	10.109855	9.349626	-31.15407	148.03847	166.29	39999	1.3080161	3.008993	17.991516	-16.456434	1.3081192	3.0102112	17.797932	-16.304678	-1.5332203	0.5102377	764.1700811386108	0.007907337658753281
11	-3.5852358	9.64566	9.565959	-17.57686	-6.528673	10.408507	9.592448	-30.676006	121.117645	142.55	43999	1.0491997	2.861144	16.052242	-15.021365	1.0491842	2.8617995	15.539087	-14.819839	-1.2680886	0.5082689	841.3426868915558	0.00789943822053275
12	-6.627605	9.543323	9.525396	-19.150473	-4.425999	10.621761	10.0	-28.928696	145.35715	128.89	47999	0.72939545	2.7729685	14.351057	-14.801122	0.7294623	2.7743595	14.436953	-14.856284	-0.93164665	0.516002	917.7971892356873	0.007736052028094199
13	-8.250714	9.121524	8.7396555	-19.107609	-7.257112	8.717753	9.439443	-24.153778	142.78572	177.26	51999	0.40430036	2.7678986	15.740355	-16.311092	0.40431044	2.7686484	14.720346	-16.182585	-0.60354406	0.5473794	996.7199096679688	0.008042124637366092
14	-4.7330785	9.7281275	9.72117	-17.9096	-5.665523	8.216076	10.0	-17.829063	153.6923	160.84	55999	-0.02729657	2.7019818	14.59667	-15.991354	-0.027301528	2.7030327	15.183864	-16.014585	-0.15996958	0.5295013	1075.1046845912933	0.007720603101288526
15	-8.040078	9.801661	8.939325	-26.631884	-3.2957897	9.105553	9.909037	-21.446993	158.5	157.64	59999	-0.43101427	2.6461291	15.442164	-17.352606	-0.4308896	2.6481276	15.798226	-16.271553	0.25140625	0.54265016	1153.5485627651215	0.00802606448233694
