Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-16.327744	6.6923556	-7.3658123	-30.59496	-30.573837	18.851006	9.049799	-62.361843	170.65218	173.55	3999	-0.6175167	0.77629644	10.360108	-12.30023	-0.61746746	0.77634877	10.305526	-11.8279505	0.48104444	0.17209685	62.47148251533508	0.03087761985591571
2	-19.554932	11.391957	9.7785015	-44.3309	-27.254995	19.707691	9.777706	-59.578377	188.14285	184.16	7999	-0.50803244	1.1384145	11.986296	-13.975626	-0.5080195	1.1387597	13.11594	-12.901759	0.35654953	0.16574822	141.17158031463623	0.015995545997644273
3	-14.5506315	9.4400625	-0.59150445	-37.447742	-13.403677	8.246034	9.699285	-32.68985	188.61905	124.26	11999	-0.09939934	1.5180372	16.097836	-13.605971	-0.09938174	1.5175773	15.870596	-13.824372	-0.16810594	0.18490171	215.4427444934845	0.014756861501766817
4	-15.912649	9.106631	-0.6007585	-46.068626	-10.323021	7.0456758	9.919026	-34.49191	162.04	144.94	15999	1.1192116	1.8463608	15.97191	-13.945884	1.1192936	1.8457015	16.83786	-13.890957	-1.3954761	0.30650848	293.7590551376343	0.014166886962490596
5	-7.687349	7.9847083	9.2003975	-18.876368	-5.3727684	8.849401	9.891286	-27.750189	131.16129	160.5	19999	2.0097117	2.398174	16.20372	-14.758729	2.009759	2.399546	16.076763	-15.462099	-2.3821225	0.47837463	371.9654607772827	0.012559833026255032
6	-4.5943856	9.511962	9.814445	-18.611313	-7.0718083	9.138779	9.924949	-17.658754	141.32143	127.01	23999	3.25977	3.161337	17.631416	-15.83664	3.2597835	3.1609619	17.159468	-15.61221	-3.6566055	0.49701348	448.2035050392151	0.0107005920624889
7	-11.440088	10.352036	9.853849	-31.830904	-15.476449	12.879177	9.823727	-36.8405	177.31818	222.52	27999	3.8674834	3.5289724	14.541256	-16.499834	3.8676548	3.5293956	14.994982	-16.616535	-4.1677384	0.4595396	530.4105968475342	0.010689902160328573
8	-13.534083	10.390529	8.704614	-29.503546	-15.723235	12.32868	9.439014	-38.517258	209.21053	226.34	31999	4.1865115	3.6610975	12.783732	-15.730373	4.186569	3.6604836	12.918157	-15.947184	-4.454384	0.46048194	612.2193145751953	0.010060311084386798
9	-11.642348	11.0886345	9.505787	-29.414701	-14.486565	12.44423	9.690627	-33.700695	200.61905	218.3	35999	3.9798913	3.4239576	13.097452	-15.382646	3.9798934	3.4238431	12.57879	-14.786303	-4.2213774	0.41723755	693.5361709594727	0.009467800321899767
10	-11.556106	10.506475	8.410096	-24.014784	-11.077171	9.310924	10.0	-25.226393	198.36842	193.48	39999	3.610306	3.1393101	13.426068	-14.985829	3.6103344	3.139979	14.143532	-14.831626	-3.817956	0.36905858	774.1413495540619	0.009089280734099658
11	-11.627327	11.724544	9.598499	-31.404535	-12.709271	9.852457	9.933841	-26.120838	206.15	214.43	43999	3.0663562	2.807558	13.178803	-16.4978	3.0664074	2.808376	12.919429	-16.853252	-3.2544086	0.32942408	855.3561849594116	0.008901284710877455
12	-8.473135	11.497232	9.964573	-27.020412	-12.158422	11.341597	9.91833	-33.655624	185.2381	198.42	47999	2.5441449	2.5065804	13.450558	-16.126694	2.5441532	2.507139	14.150742	-16.52534	-2.722849	0.30456316	933.9740669727325	0.009071129404161932
13	-8.225142	12.093702	9.971519	-28.687809	-9.717868	10.880489	9.977811	-24.06083	196.14285	200.0	51999	2.057699	2.3149455	14.272412	-15.349863	2.0576813	2.3152335	13.940777	-14.792374	-2.2237265	0.28404346	1013.2057750225067	0.009062067336825108
14	-8.489155	11.202036	9.700032	-26.639568	-9.208708	10.222669	9.960398	-23.310987	208.0	199.65	55999	1.6053	2.0817268	13.857957	-14.227949	1.6053345	2.0821888	14.572185	-14.003088	-1.7605095	0.2748275	1094.0806605815887	0.009053014322502606
15	-9.385203	8.6192255	9.84353	-21.175398	-6.6456575	10.551658	9.945358	-23.96128	196.7619	150.08	59999	1.1158044	1.8780531	15.308517	-14.94279	1.1158036	1.8785361	15.133395	-14.771301	-1.2550956	0.2670214	1171.2866621017456	0.008865768407166411
16	-3.573654	9.169336	9.929218	-16.012945	-7.7624884	10.508047	9.989765	-31.405222	158.64	172.96	63999	0.671499	1.7751045	14.985445	-15.3932	0.6714618	1.7755766	15.404854	-16.413065	-0.8056204	0.29257783	1249.3887190818787	0.00885691149567074
17	-4.911814	9.838304	9.895077	-23.00711	-3.029055	9.31496	9.935191	-17.720535	174.91304	150.42	67999	0.35147765	1.787672	14.272305	-14.90158	0.3514519	1.7888716	15.284345	-15.3965	-0.5038471	0.32447043	1325.9945211410522	0.009025909507226497
18	-0.9971932	10.388112	9.981768	-21.58027	-0.26418504	9.352995	10.0	-20.090206	143.25926	139.53	71999	0.1028795	1.8223273	14.776248	-15.302915	0.102783464	1.8226253	15.500347	-14.606479	-0.2500653	0.3394624	1402.2163076400757	0.009198132156165585
19	1.6974623	9.193799	9.86826	-18.957336	0.33731988	8.843601	9.993085	-16.12904	165.12	152.93	75999	-0.06591712	1.8702252	14.302832	-15.161829	-0.06585977	1.870381	14.347995	-14.894647	-0.09424481	0.37291592	1480.6217586994171	0.009007884729882005
20	0.3656755	9.733677	9.954895	-15.9837675	2.789179	8.618043	10.0	-15.907458	130.5	130.81	79999	-0.12373276	1.8869777	14.731769	-14.742673	-0.12374413	1.888458	15.20615	-14.996326	-0.042765465	0.4059207	1555.9032003879547	0.009364276694838145
21	3.4687424	6.9019814	9.9863	-13.120195	1.6286654	9.143144	9.9521	-24.13283	155.32	138.55	83999	-0.16261145	1.9459497	16.44736	-15.548038	-0.16262934	1.9468832	14.545002	-15.61138	-0.0132921925	0.41703817	1631.6332993507385	0.009170592856646486
22	0.68639976	8.825327	9.967916	-14.04904	3.4500244	9.1953945	9.93907	-17.369211	147.96428	116.64	87999	-0.1882317	1.9948093	18.764027	-16.032242	-0.18819685	1.9960996	18.997335	-15.049746	0.011889284	0.44096246	1705.6977171897888	0.009161431425221266
23	2.574001	7.8102455	9.979378	-15.725025	-1.4639025	9.837874	9.959663	-20.35564	167.47826	164.66	91999	-0.20828363	2.0190547	19.860384	-14.910994	-0.20824705	2.0205126	19.094557	-15.919972	0.033901103	0.45372388	1784.7593822479248	0.009336239956911303
24	0.95422745	8.32153	9.880571	-13.615257	-0.26182353	10.129977	9.948125	-19.025406	150.64285	126.26	95999	-0.25013208	2.0688891	17.311079	-15.932676	-0.25021046	2.071022	15.816839	-15.909066	0.072558485	0.4732125	1860.368805885315	0.008962980109857003
25	3.2349448	9.092561	9.955207	-14.759429	4.8244643	6.8675003	10.0	-14.313888	118.0	134.66	99999	-0.2597969	2.1088998	15.845078	-15.132328	-0.25975657	2.1108108	15.124524	-14.965715	0.08672627	0.48487473	1936.8282725811005	0.008777596396209422
26	3.8882163	9.415852	9.900925	-29.29476	5.581707	8.184616	10.0	-20.484373	117.82353	105.02	103999	-0.24169256	2.1592798	16.234627	-14.982365	-0.24167037	2.1609914	15.726934	-16.175186	0.06358673	0.5068453	2010.6494064331055	0.008426670937622834
27	5.048122	8.065485	9.942133	-18.141724	3.5023346	9.332843	9.963829	-21.902521	115.14286	105.27	107999	-0.23669326	2.2334466	17.134085	-14.755393	-0.23664644	2.235186	16.414373	-15.135458	0.06363794	0.53831714	2084.3619170188904	0.00858745956390515
28	3.2216322	7.4490004	9.918442	-12.0310335	2.985354	8.935923	9.957993	-20.140182	141.82143	126.4	111999	-0.22227137	2.3338223	16.471687	-14.947548	-0.2222595	2.3362994	15.569378	-15.125608	0.04298603	0.5533681	2160.034965991974	0.00910665471484175
