Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-15.179431	10.2875395	5.6308722	-40.038475	-11.835987	9.082838	9.812969	-30.118107	164.91304	144.11	3999	-1.1267294	2.7131505	47.6014	-27.117695	-1.1263677	2.718389	48.24416	-26.700098	0.7089874	0.72904605	43.337308168411255
2	-18.740845	14.433622	9.340694	-48.560417	-17.350225	9.588956	8.854112	-34.904118	167.8	151.52	7999	2.4417439	6.8364825	57.720154	-33.947273	2.4418173	6.8364687	57.800255	-34.96293	-4.136023	2.0634742	97.8325879573822
3	-16.62409	11.595737	7.939104	-44.368732	-13.639959	6.8122387	9.52893	-25.873745	156.24	162.05	11999	15.906342	10.681448	52.942738	-44.19246	15.906158	10.683548	52.49642	-42.79596	-18.444323	3.8930278	152.46279549598694
4	-19.84059	14.230644	8.837434	-50.027435	-24.14384	16.404509	9.651391	-54.884354	143.67857	164.45	15999	23.82796	8.26469	50.909103	-49.335945	23.827715	8.265463	51.817303	-48.716866	-24.988815	5.10992	207.98136711120605
5	-22.032526	16.512032	6.553933	-51.33012	-13.034254	10.0479355	9.92975	-35.099598	184.61905	163.31	19999	22.12693	7.5285726	52.08409	-46.476383	22.127163	7.5269046	51.339027	-44.737026	-22.977535	4.766416	263.625851392746
6	-11.012653	10.498291	9.480639	-32.089996	-12.059244	10.093486	9.541656	-34.63151	133.48387	130.87	23999	18.713842	7.0501347	47.954456	-43.90711	18.714136	7.051909	50.582363	-43.3951	-19.434473	4.3047276	316.62731647491455
7	-11.861849	9.231829	9.358336	-31.827894	-7.8378882	9.155292	9.845935	-24.592655	140.78572	111.9	27999	15.362479	7.214942	45.761997	-45.64854	15.36239	7.21547	47.941734	-44.91617	-16.043613	4.132344	367.8902938365936
8	-10.532268	10.9389105	8.962402	-29.111406	-11.251653	7.7041717	9.987684	-28.123894	141.27586	137.06	31999	12.184225	7.425711	47.545963	-48.403492	12.184402	7.4289713	48.756805	-48.394867	-12.814017	4.4043994	421.44336009025574
9	-11.351921	7.5136294	8.615824	-28.736427	-12.35434	8.608602	9.3273	-27.989107	130.31035	133.27	35999	8.875177	7.1626115	49.471428	-49.836903	8.87524	7.1653533	52.297173	-47.091866	-9.453875	4.170632	474.4112768173218
10	-8.094239	8.898698	9.626791	-24.269506	-8.560028	8.638442	9.725825	-26.618406	140.26666	122.8	39999	5.8043704	6.900555	51.170364	-46.794765	5.80444	6.902681	53.51539	-45.41101	-6.3396015	4.228219	526.2966570854187
11	-8.857295	8.874333	9.692639	-23.129204	-9.383123	7.530965	9.75034	-28.175676	107.567566	134.19	43999	3.1931193	6.5309052	54.299446	-46.508022	3.1932116	6.5337296	53.369232	-44.55777	-3.7237694	4.158039	578.6401555538177
12	-8.167357	7.7836466	9.301719	-16.470276	-6.3045597	8.463153	9.640282	-19.739643	141.92592	155.7	47999	1.1391647	6.3701134	54.4216	-48.778866	1.138867	6.3737497	56.219868	-47.30074	-1.6864529	3.9140005	632.5043523311615
13	-9.025807	8.721964	9.943338	-20.781834	-7.3238697	8.657567	9.879998	-20.996332	135.67741	149.23	51999	-0.42721105	6.511379	53.938675	-46.95497	-0.42767745	6.513139	54.766224	-48.25516	-0.10520268	4.167761	686.169641494751
14	-6.7805495	8.736867	9.512838	-16.521717	-5.468876	8.822488	9.634226	-18.911385	115.02941	149.3	55999	-1.7400377	6.666305	48.027546	-46.340263	-1.7399428	6.6703835	46.67101	-45.326107	1.1813953	4.4503818	738.82865858078
15	-6.4916925	7.8946157	9.963581	-17.22179	-7.200559	7.6496997	9.823742	-19.990524	163.08	166.92	59999	-2.7762094	6.75487	52.738605	-46.546665	-2.776388	6.7593174	51.1629	-48.492725	2.1858277	4.5238175	793.8535642623901
16	-5.9970303	8.235044	9.556614	-16.080334	-6.3519816	8.665732	10.0	-21.297665	141.2963	145.36	63999	-3.6286738	6.716321	49.1483	-47.860287	-3.6285207	6.717819	51.928913	-46.915413	3.0405753	4.44887	847.9057214260101
17	-4.261109	7.973164	9.516459	-14.920726	-6.469265	8.624635	9.671523	-22.417688	158.84	160.1	67999	-4.4029207	6.682348	56.80058	-49.66378	-4.4027457	6.682501	51.374866	-50.522636	3.8593278	4.4443264	902.5503957271576
18	-5.5415688	8.11237	9.4822445	-17.283947	-4.914664	9.040132	9.731013	-21.277868	160.96	158.15	71999	-5.180647	6.680969	54.505096	-50.92866	-5.180687	6.6786814	55.590836	-52.148678	4.6579747	4.588431	957.5207386016846
19	-1.4958011	9.350204	9.746046	-17.191145	-6.0077076	8.948753	9.975011	-34.033978	152.66667	180.54	75999	-5.8539786	6.552012	49.22849	-49.63397	-5.8537555	6.552788	52.503513	-48.842827	5.3453693	4.709368	1011.7429172992706
20	-5.4945965	9.119909	9.420595	-21.128273	-4.377547	8.893121	9.952175	-18.041674	162.72	170.98	79999	-6.426174	6.399199	53.57171	-48.649185	-6.4262576	6.4002876	54.782413	-46.299	5.9262304	4.77171	1067.1606187820435
21	-5.587918	10.293802	9.986788	-24.085333	-4.02066	9.198854	9.986214	-16.60078	143.10715	135.48	83999	-6.835435	6.353777	62.416016	-50.101246	-6.835208	6.3554463	63.46958	-48.838043	6.330843	4.9639583	1120.432433605194
22	-3.4220927	8.37469	9.164488	-15.756433	-2.7613168	9.562324	9.993704	-24.265852	160.08	144.54	87999	-7.166785	6.511798	56.209824	-46.995056	-7.166633	6.516415	54.00261	-45.803078	6.6734543	4.993366	1174.02228307724
23	-7.587653	9.778144	9.969882	-32.079918	-4.8895283	10.799837	9.978203	-33.859203	165.0	146.67	91999	-7.358693	6.6799283	53.177994	-48.234234	-7.3583465	6.6826143	52.09485	-48.2009	6.8692517	5.0337276	1227.4724497795105
24	-4.810275	9.315288	9.9826355	-21.679531	-3.6504388	9.914557	9.992125	-21.143637	149.39285	130.38	95999	-7.4844337	6.6342187	57.008556	-45.238632	-7.4842925	6.6364884	58.877056	-46.781464	6.9690313	5.049611	1280.6030015945435
