Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
1	-16.109476	11.885358	5.2560863	-41.178226	-29.677923	18.820454	7.9466166	-61.078945	163.29167	176.74	3999	-1.1696771	2.4558356	66.8681	-28.396418	-1.1693476	2.4569688	73.813705	-29.296078	0.9260957	0.62559706	46.316776752471924	0.026333090739448825
2	-20.777744	10.821857	-8.294979	-43.90491	-28.913218	19.17968	9.94478	-62.05191	176.69565	181.13	7999	-1.895607	5.8214955	105.44816	-63.779446	-1.8959937	5.8195844	114.08432	-61.185356	1.4765193	1.2200823	103.39464211463928	0.021134770437292855
3	-23.409105	15.311401	8.016269	-52.194763	-25.982056	18.39503	10.0	-55.44023	171.72728	168.04	11999	-3.1445963	8.133965	107.9587	-65.01748	-3.1439667	8.141562	112.864784	-65.81679	2.70777	3.2884605	159.59819412231445	0.015053474417952335
4	-26.197046	18.740108	8.809571	-55.95701	-26.636702	17.26426	8.852556	-57.650764	150.64285	171.08	15999	-4.5131207	8.107125	91.547386	-47.116947	-4.513074	8.107591	94.48637	-51.852314	3.752775	2.7619793	217.2858121395111	0.011381623244782566
5	-27.581799	16.793833	-3.165092	-56.913624	-28.09301	17.015083	-1.2302388	-60.0014	173.81818	177.64	19999	-6.352632	8.48138	52.380043	-49.841858	-6.3529043	8.479684	54.558598	-49.062325	5.755717	2.1066265	275.28501176834106	0.010293341705027055
6	-24.711489	15.911336	-0.52071404	-52.529266	-19.281216	8.691899	0.33418375	-40.38496	165.44	175.09	23999	-5.136593	7.1120048	60.380615	-41.863617	-5.13749	7.112271	62.465347	-44.905483	4.4655037	2.1475275	333.49056458473206	0.009496232135734228
7	-9.217493	9.17759	9.457188	-25.228157	-11.929752	8.363602	9.904858	-28.685759	166.26086	179.67	27999	-5.5549107	6.233831	92.31445	-51.54747	-5.553725	6.232869	93.55698	-53.697807	4.8142824	2.3916929	389.9975461959839	0.009116575853233435
8	-11.40849	8.542151	9.2947235	-27.615416	-10.651555	8.515084	9.607962	-25.457418	132.51613	161.43	31999	-5.5442557	5.258724	100.15556	-53.00983	-5.544158	5.2603397	104.26806	-50.98995	4.809137	2.4071646	446.010870218277	0.009477268122221664
9	-11.213699	6.206035	7.473602	-18.442753	-10.416815	6.774692	9.206127	-20.68622	124.757576	110.04	35999	-5.2584195	5.112304	103.10096	-51.635002	-5.2602167	5.1124935	100.23145	-57.590294	4.52396	2.964524	498.9629330635071	0.008571076121053886
10	-10.328666	8.325182	9.4602785	-21.348423	-12.300071	6.9909096	9.9189005	-27.025064	136.03448	141.8	39999	-5.735628	5.0832434	92.48021	-55.20958	-5.736372	5.0823417	87.84225	-52.25374	5.0265946	3.132763	554.2692096233368	0.008393798262372748
